Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","426","Lesotho","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2198.017","X","Figure from international organizations",""
"OA","Annual population","430","Liberia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4889.391","X","Figure from international organizations",""
"OA","Annual population","434","Libya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6477.793","X","Figure from international organizations",""
"OA","Annual population","438","Liechtenstein","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","38.181","X","Figure from international organizations",""
"OA","Annual population","440","Lithuania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2876.128","X","Figure from international organizations",""
"OA","Annual population","442","Luxembourg","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","607.913","X","Figure from international organizations",""
"OA","Annual population","450","Madagascar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","26846.541","X","Figure from international organizations",""
"OA","Annual population","454","Malawi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","18367.883","X","Figure from international organizations",""
"OA","Annual population","458","Malaysia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","32399.271","X","Figure from international organizations",""
"OA","Annual population","462","Maldives","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","489.758","X","Figure from international organizations",""
"OA","Annual population","466","Mali","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","19934.298","X","Figure from international organizations",""
"OA","Annual population","470","Malta","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","491.586","X","Figure from international organizations",""
"OA","Annual population","584","Marshall Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","45.989","X","Figure from international organizations",""
"OA","Annual population","474","Martinique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","374.841","X","Figure from international organizations",""
"OA","Annual population","478","Mauritania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4270.712","X","Figure from international organizations",""
"OA","Annual population","480","Mauritius","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1295.381","X","Figure from international organizations",""
"OA","Annual population","175","Mayotte","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","282.954","X","Figure from international organizations",""
"OA","Annual population","484","Mexico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","124013.861","X","Figure from international organizations",""
"OA","Annual population","583","Micronesia (Federated States of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","110.929","X","Figure from international organizations",""
"OA","Annual population","492","Monaco","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37.029","X","Figure from international organizations",""
"OA","Annual population","496","Mongolia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3163.991","X","Figure from international organizations",""
"OA","Annual population","499","Montenegro","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","631.455","X","Figure from international organizations",""
"OA","Annual population","500","Montserrat","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4.359","X","Figure from international organizations",""
"OA","Annual population","504","Morocco","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","35927.511","X","Figure from international organizations",""
"OA","Annual population","508","Mozambique","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","29423.878","X","Figure from international organizations",""
"OA","Annual population","104","Myanmar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","52666.014","X","Figure from international organizations",""
"OA","Annual population","516","Namibia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2405.68","X","Figure from international organizations",""
"OA","Annual population","520","Nauru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11.924","X","Figure from international organizations",""
"OA","Annual population","524","Nepal","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","28506.712","X","Figure from international organizations",""
"OA","Annual population","528","Netherlands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17286.042","X","Figure from international organizations",""
"OA","Annual population","540","New Caledonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","284.88","X","Figure from international organizations",""
"OA","Annual population","554","New Zealand","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4838.526","X","Figure from international organizations",""
"OA","Annual population","558","Nicaragua","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6572.233","X","Figure from international organizations",""
"OA","Annual population","562","Niger","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","22577.058","X","Figure from international organizations",""
"OA","Annual population","566","Nigeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","198387.623","X","Figure from international organizations",""
"OA","Annual population","570","Niue","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1.887","X","Figure from international organizations",""
"OA","Annual population","807","North Macedonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2113.491","X","Figure from international organizations",""
"OA","Annual population","580","Northern Mariana Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","50.304","X","Figure from international organizations",""
"OA","Annual population","578","Norway","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5312.32","X","Figure from international organizations",""
